#OTUID	Taxon	Confidence
281f4ba0c488e51a9ed6a4d4c370da97	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9975350384668282
99596da5fd99aa31050b95ff15e2bca2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.991186135160391
d5878a28143c809226e8a2cba7ee40dc	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales	0.974321619183948
e384d68d3f0b38a1e12374a5e1036051	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9926789339370234
48e6ee8a214a6152921cd313ad876b2b	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc	0.9998183986585774
1ceaef2fa53bc26cee91c028f3f711a8	Unassigned	0.7604226348419159
b0b1a81c5bb6ad9e9e13728bbc52429e	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9972922623262674
e8674b0b8e12fe229a8982c2359d4e49	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__uncultured_bacterium	0.867831038466076
189d018cfdb8d7368376b49f05b86b1d	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9858626304625387
ebf169ae7aa9c741950a304a17ad6cac	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Zymomonas; s__Zymomonas_mobilis	0.7163837325409276
64d2277694cf7cdd53d656324913fe52	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc	0.9988299919648271
